rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
809,40,101,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
808,40,121,0.15,6,5,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
807,40,125,0.15,7,6,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
806,40,121,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
805,40,92,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,16,12,-1,-1,-5,0,shortest
804,40,113,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
803,40,138,0.15,3,2,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
802,40,128,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
801,40,110,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
800,40,136,0.15,6,5,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
799,40,116,0.15,6,5,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
798,40,125,0.15,4,3,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
797,40,121,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
796,40,126,0.15,3,2,clustered,0.6;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
795,40,112,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,12,9,-1,-1,-4,0,shortest
794,40,119,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,16,12,-1,-1,-5,0,shortest
791,40,130,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
790,40,132,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
789,40,117,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,15,12,-1,-1,-4,0,shortest
